Month,Tag Name,No. of questions
"2016-08-01 00:00:00","javascript","5698"
"2016-08-01 00:00:00","r","961"
"2016-07-01 00:00:00","r","4377"
"2016-07-01 00:00:00","javascript","25886"
"2016-06-01 00:00:00","r","4266"
"2016-06-01 00:00:00","javascript","25211"
"2016-05-01 00:00:00","r","4190"
"2016-05-01 00:00:00","javascript","26033"
"2016-04-01 00:00:00","r","4627"
"2016-04-01 00:00:00","javascript","26265"
"2016-03-01 00:00:00","javascript","26928"
"2016-03-01 00:00:00","r","4453"
"2016-02-01 00:00:00","r","3983"
"2016-02-01 00:00:00","javascript","24999"
"2016-01-01 00:00:00","r","3854"
"2016-01-01 00:00:00","javascript","24848"
"2015-12-01 00:00:00","r","3441"
"2015-12-01 00:00:00","javascript","23168"
"2015-11-01 00:00:00","r","3874"
"2015-11-01 00:00:00","javascript","23706"
"2015-10-01 00:00:00","r","4014"
"2015-10-01 00:00:00","javascript","24249"
"2015-09-01 00:00:00","r","3571"
"2015-09-01 00:00:00","javascript","23723"
"2015-08-01 00:00:00","javascript","23625"
"2015-08-01 00:00:00","r","3688"
"2015-07-01 00:00:00","javascript","24272"
"2015-07-01 00:00:00","r","4024"
"2015-06-01 00:00:00","r","3464"
"2015-06-01 00:00:00","javascript","22902"
"2015-05-01 00:00:00","javascript","22443"
"2015-05-01 00:00:00","r","3462"
"2015-04-01 00:00:00","r","3347"
"2015-04-01 00:00:00","javascript","21173"
"2015-03-01 00:00:00","r","3611"
"2015-03-01 00:00:00","javascript","20761"
"2015-02-01 00:00:00","javascript","18893"
"2015-02-01 00:00:00","r","2997"
"2015-01-01 00:00:00","r","2723"
"2015-01-01 00:00:00","javascript","18781"
"2014-12-01 00:00:00","r","2376"
"2014-12-01 00:00:00","javascript","17252"
"2014-11-01 00:00:00","javascript","18249"
"2014-11-01 00:00:00","r","2745"
"2014-10-01 00:00:00","r","2809"
"2014-10-01 00:00:00","javascript","19180"
"2014-09-01 00:00:00","javascript","18360"
"2014-09-01 00:00:00","r","2396"
"2014-08-01 00:00:00","r","2498"
"2014-08-01 00:00:00","javascript","18742"
