Month,Tag Name,No. of questions
"2016-08-01 00:00:00","python","3057"
"2016-08-01 00:00:00","r","961"
"2016-07-01 00:00:00","r","4377"
"2016-07-01 00:00:00","python","14841"
"2016-06-01 00:00:00","r","4266"
"2016-06-01 00:00:00","python","14401"
"2016-05-01 00:00:00","python","14437"
"2016-05-01 00:00:00","r","4190"
"2016-04-01 00:00:00","r","4627"
"2016-04-01 00:00:00","python","15080"
"2016-03-01 00:00:00","r","4453"
"2016-03-01 00:00:00","python","15373"
"2016-02-01 00:00:00","r","3983"
"2016-02-01 00:00:00","python","14381"
"2016-01-01 00:00:00","r","3854"
"2016-01-01 00:00:00","python","13388"
"2015-12-01 00:00:00","python","12635"
"2015-12-01 00:00:00","r","3441"
"2015-11-01 00:00:00","python","13335"
"2015-11-01 00:00:00","r","3874"
"2015-10-01 00:00:00","python","13619"
"2015-10-01 00:00:00","r","4014"
"2015-09-01 00:00:00","python","11846"
"2015-09-01 00:00:00","r","3571"
"2015-08-01 00:00:00","r","3688"
"2015-08-01 00:00:00","python","11825"
"2015-07-01 00:00:00","python","12466"
"2015-07-01 00:00:00","r","4024"
"2015-06-01 00:00:00","python","11940"
"2015-06-01 00:00:00","r","3464"
"2015-05-01 00:00:00","r","3462"
"2015-05-01 00:00:00","python","11343"
"2015-04-01 00:00:00","python","11579"
"2015-04-01 00:00:00","r","3347"
"2015-03-01 00:00:00","r","3611"
"2015-03-01 00:00:00","python","11737"
"2015-02-01 00:00:00","python","10314"
"2015-02-01 00:00:00","r","2997"
"2015-01-01 00:00:00","python","9819"
"2015-01-01 00:00:00","r","2723"
"2014-12-01 00:00:00","python","9159"
"2014-12-01 00:00:00","r","2376"
"2014-11-01 00:00:00","python","9697"
"2014-11-01 00:00:00","r","2745"
"2014-10-01 00:00:00","r","2809"
"2014-10-01 00:00:00","python","9712"
"2014-09-01 00:00:00","python","8884"
"2014-09-01 00:00:00","r","2396"
"2014-08-01 00:00:00","r","2498"
"2014-08-01 00:00:00","python","9208"
"2014-07-01 00:00:00","r","2664"
"2014-07-01 00:00:00","python","10037"
"2014-06-01 00:00:00","r","2420"
"2014-06-01 00:00:00","python","9001"
"2014-05-01 00:00:00","python","9372"
"2014-05-01 00:00:00","r","2607"
"2014-04-01 00:00:00","r","2763"
"2014-04-01 00:00:00","python","10890"
"2014-03-01 00:00:00","r","2845"
"2014-03-01 00:00:00","python","11524"
"2014-02-01 00:00:00","python","9981"
"2014-02-01 00:00:00","r","2633"
"2014-01-01 00:00:00","r","2367"
"2014-01-01 00:00:00","python","9917"
"2013-12-01 00:00:00","r","1919"
"2013-12-01 00:00:00","python","8540"
"2013-11-01 00:00:00","r","2204"
"2013-11-01 00:00:00","python","9574"
"2013-10-01 00:00:00","r","2118"
"2013-10-01 00:00:00","python","9581"
"2013-09-01 00:00:00","python","8026"
"2013-09-01 00:00:00","r","1726"
"2013-08-01 00:00:00","r","1932"
"2013-08-01 00:00:00","python","7994"
"2013-07-01 00:00:00","r","1986"
"2013-07-01 00:00:00","python","8673"
"2013-06-01 00:00:00","python","7673"
"2013-06-01 00:00:00","r","1792"
"2013-05-01 00:00:00","r","1802"
"2013-05-01 00:00:00","python","7892"
"2013-04-01 00:00:00","python","8014"
"2013-04-01 00:00:00","r","1858"
"2013-03-01 00:00:00","r","1865"
"2013-03-01 00:00:00","python","7729"
"2013-02-01 00:00:00","r","1689"
"2013-02-01 00:00:00","python","6827"
"2013-01-01 00:00:00","r","1522"
"2013-01-01 00:00:00","python","6647"
"2012-12-01 00:00:00","r","1229"
"2012-12-01 00:00:00","python","5812"
"2012-11-01 00:00:00","r","1352"
"2012-11-01 00:00:00","python","6458"
"2012-10-01 00:00:00","r","1283"
"2012-10-01 00:00:00","python","6193"
"2012-09-01 00:00:00","python","5309"
"2012-09-01 00:00:00","r","1065"
"2012-08-01 00:00:00","python","5901"
"2012-08-01 00:00:00","r","1102"
"2012-07-01 00:00:00","python","5800"
"2012-07-01 00:00:00","r","1130"
"2012-06-01 00:00:00","r","979"
"2012-06-01 00:00:00","python","5320"
"2012-05-01 00:00:00","python","5155"
"2012-05-01 00:00:00","r","883"
"2012-04-01 00:00:00","r","855"
"2012-04-01 00:00:00","python","4974"
"2012-03-01 00:00:00","r","896"
"2012-03-01 00:00:00","python","5086"
"2012-02-01 00:00:00","r","817"
"2012-02-01 00:00:00","python","4530"
"2012-01-01 00:00:00","r","693"
"2012-01-01 00:00:00","python","4243"
"2011-12-01 00:00:00","r","618"
"2011-12-01 00:00:00","python","3657"
"2011-11-01 00:00:00","r","609"
"2011-11-01 00:00:00","python","3905"
"2011-10-01 00:00:00","python","3661"
"2011-10-01 00:00:00","r","623"
"2011-09-01 00:00:00","r","613"
"2011-09-01 00:00:00","python","3541"
"2011-08-01 00:00:00","python","3863"
"2011-08-01 00:00:00","r","587"
"2011-07-01 00:00:00","r","455"
"2011-07-01 00:00:00","python","3710"
"2011-06-01 00:00:00","python","3495"
"2011-06-01 00:00:00","r","445"
"2011-05-01 00:00:00","r","428"
"2011-05-01 00:00:00","python","3553"
"2011-04-01 00:00:00","python","3379"
"2011-04-01 00:00:00","r","479"
"2011-03-01 00:00:00","python","3789"
"2011-03-01 00:00:00","r","425"
"2011-02-01 00:00:00","python","3046"
"2011-02-01 00:00:00","r","322"
"2011-01-01 00:00:00","python","2936"
"2011-01-01 00:00:00","r","250"
"2010-12-01 00:00:00","python","2512"
"2010-12-01 00:00:00","r","224"
"2010-11-01 00:00:00","r","244"
"2010-11-01 00:00:00","python","2636"
"2010-10-01 00:00:00","r","215"
"2010-10-01 00:00:00","python","2692"
"2010-09-01 00:00:00","python","2272"
"2010-09-01 00:00:00","r","235"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","python","2515"
"2010-07-01 00:00:00","python","2632"
"2010-07-01 00:00:00","r","236"
"2010-06-01 00:00:00","r","178"
"2010-06-01 00:00:00","python","2235"
"2010-05-01 00:00:00","python","2029"
"2010-05-01 00:00:00","r","139"
"2010-04-01 00:00:00","python","1830"
"2010-04-01 00:00:00","r","160"
"2010-03-01 00:00:00","python","2084"
"2010-03-01 00:00:00","r","140"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","python","1875"
"2010-01-01 00:00:00","r","95"
"2010-01-01 00:00:00","python","1960"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","python","1599"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","python","1572"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","python","1430"
"2009-09-01 00:00:00","python","1174"
"2009-09-01 00:00:00","r","139"
"2009-08-01 00:00:00","python","1147"
"2009-08-01 00:00:00","r","48"
"2009-07-01 00:00:00","python","1173"
"2009-07-01 00:00:00","r","51"
"2009-06-01 00:00:00","python","1046"
"2009-06-01 00:00:00","r","5"
"2009-05-01 00:00:00","python","1003"
"2009-05-01 00:00:00","r","2"
"2009-04-01 00:00:00","python","769"
"2009-04-01 00:00:00","r","12"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","python","768"
"2009-02-01 00:00:00","python","640"
"2009-02-01 00:00:00","r","9"
"2009-01-01 00:00:00","python","636"
"2009-01-01 00:00:00","r","8"
"2008-12-01 00:00:00","python","445"
"2008-12-01 00:00:00","r","1"
"2008-11-01 00:00:00","python","454"
"2008-11-01 00:00:00","r","1"
"2008-10-01 00:00:00","python","516"
"2008-09-01 00:00:00","python","544"
"2008-09-01 00:00:00","r","6"
"2008-08-01 00:00:00","python","127"
