Finished,R,LaTeX,Version_control,HtmlCSS,Javascript,Python,SQL,Other_prog_exp,BitbucketGit
1,I completed a tutorial once,,Never,Never,Never,Never,I completed a tutorial once,Some,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,A little,No
1,I completed one real life project using it,I completed one real life project using it,I completed one real life project using it,I had to use it for one class,Never,I completed one real life project using it,Never,Some,Yes
1,Never,Never,Never,Never,Never,I completed a tutorial once,Never,None,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,A little,No
1,I completed a tutorial once,Never,Never,I completed a tutorial once,Never,I completed a tutorial once,I completed a tutorial once,A little,No
1,I completed a tutorial once,Never,Never,Never,Never,Never,Never,None,No
1,I had to use it for one class,Never,I completed a tutorial once,I completed a tutorial once,Never,I had to use it for one class,I completed a tutorial once,A little,Yes
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,A little,No
1,I completed a tutorial once,I had to use it for one class,Never,Never,I completed one real life project using it,I completed a tutorial once,I had to use it for one class,Some,No
1,I had to use it for one class,Never,Never,I had to use it for one class,Never,I had to use it for one class,I had to use it for one class,Some,Yes
1,I completed one real life project using it,It is part of my standard setup but I do not use it for every project,I completed one real life project using it,I completed one real life project using it,I had to use it for one class,I completed a tutorial once,I completed one real life project using it,I am a software developer,No
1,I completed one real life project using it,Never,I completed a tutorial once,Never,Never,I completed a tutorial once,I completed a tutorial once,Some,Yes
1,I had to use it for one class,I had to use it for one class,I completed one real life project using it,Never,I completed a tutorial once,I completed one real life project using it,I completed one real life project using it,A little,Yes
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,Some,No
1,Never,I completed a tutorial once,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,None,No
1,I use it every day,I use it every day,I completed a tutorial once,I completed one real life project using it,Never,It is part of my standard setup but I do not use it for every project,I completed a tutorial once,Some,No
1,I had to use it for one class,Never,Never,I completed a tutorial once,Never,I had to use it for one class,I use it every day,A little,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,A little,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I had to use it for one class,A little,No
1,Never,,Never,I completed a tutorial once,I completed a tutorial once,Never,I completed a tutorial once,A lot,No
1,Never,Never,I use it every day,I had to use it for one class,I had to use it for one class,Never,I use it every day,A lot,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,None,No
1,I completed a tutorial once,Never,Never,Never,Never,Never,I had to use it for one class,Some,No
1,Never,Never,Never,Never,I completed a tutorial once,Never,I completed a tutorial once,A little,No
1,Never,Never,Never,Never,Never,Never,Never,None,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,Never,None,Yes
1,I completed a tutorial once,Never,Never,I had to use it for one class,I had to use it for one class,I had to use it for one class,I completed a tutorial once,None,No
1,Never,Never,Never,Never,Never,Never,Never,None,No
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,A little,Yes
1,I completed a tutorial once,Never,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,None,No
1,I had to use it for one class,Never,I had to use it for one class,I completed a tutorial once,I completed one real life project using it,Never,I had to use it for one class,A lot,Yes
1,Never,Never,Never,Never,Never,Never,I use it every day,A little,No
1,Never,I completed one real life project using it,Never,I had to use it for one class,I had to use it for one class,I had to use it for one class,I completed one real life project using it,Some,No
1,I completed a tutorial once,Never,Never,I had to use it for one class,Never,I completed a tutorial once,Never,None,No
1,Never,Never,Never,Never,Never,Never,Never,None,Yes
1,I completed a tutorial once,Never,Never,Never,Never,Never,Never,None,No
1,I completed a tutorial once,Never,I had to use it for one class,I had to use it for one class,I had to use it for one class,Never,It is part of my standard setup but I do not use it for every project,Some,No
1,I completed a tutorial once,Never,Never,I completed a tutorial once,Never,I had to use it for one class,I completed one real life project using it,A little,No
1,I completed a tutorial once,I completed one real life project using it,I had to use it for one class,I completed a tutorial once,Never,I completed one real life project using it,I had to use it for one class,Some,Yes
1,Never,Never,Never,I had to use it for one class,Never,I completed a tutorial once,I had to use it for one class,None,No
1,Never,Never,Never,Never,Never,Never,Never,A little,No
1,I had to use it for one class,Never,Never,Never,Never,I completed a tutorial once,I had to use it for one class,A little,No
1,I had to use it for one class,I completed a tutorial once,I had to use it for one class,I completed a tutorial once,Never,Never,I completed one real life project using it,A little,Yes
1,Never,I had to use it for one class,Never,Never,I had to use it for one class,Never,Never,Some,No
1,I use it every day,I use it every day,Never,Never,Never,Never,I completed one real life project using it,Some,No
1,Never,Never,Never,I had to use it for one class,Never,Never,Never,None,No
1,I had to use it for one class,I had to use it for one class,Never,I had to use it for one class,I had to use it for one class,I had to use it for one class,Never,None,No
1,I completed a tutorial once,I completed a tutorial once,I completed a tutorial once,I completed a tutorial once,I completed a tutorial once,I completed a tutorial once,I completed one real life project using it,Some,Yes
1,I completed a tutorial once,Never,Never,Never,Never,I had to use it for one class,I completed one real life project using it,None,No
1,Never,I had to use it for one class,I had to use it for one class,I had to use it for one class,Never,Never,I completed a tutorial once,A little,Yes
1,I completed a tutorial once,Never,Never,I completed a tutorial once,Never,I had to use it for one class,I had to use it for one class,A little,No
1,I completed one real life project using it,I completed one real life project using it,Never,Never,Never,I completed a tutorial once,I completed a tutorial once,None,No
1,Never,I had to use it for one class,Never,Never,Never,I had to use it for one class,Never,Some,Yes
1,I completed a tutorial once,Never,I completed a tutorial once,Never,Never,I had to use it for one class,I completed one real life project using it,Some,No
1,,,,,,,,,
